,Bearing 1,Bearing 2,Bearing 3,Bearing 4
0,0.049,-0.059000000000000004,-0.01,-0.017
1,0.1,-0.027000000000000003,-0.09300000000000001,-0.107
2,0.1,0.01,-0.063,-0.073
3,0.059000000000000004,0.049,-0.051,-0.01
4,-0.034,0.055999999999999994,-0.044000000000000004,-0.005
5,0.078,-0.022000000000000002,-0.059000000000000004,-0.068
6,0.11699999999999999,-0.039,-0.073,-0.054000000000000006
7,0.076,-0.015,-0.051,-0.061
8,-0.071,-0.027000000000000003,0.08800000000000001,0.046
9,-0.044000000000000004,-0.039,-0.006999999999999999,-0.028999999999999998
10,-0.051,-0.078,0.006999999999999999,-0.012
11,-0.098,-0.068,-0.042,-0.02
12,-0.083,-0.107,-0.017,-0.024
13,-0.039,-0.10300000000000001,-0.022000000000000002,-0.027000000000000003
14,-0.044000000000000004,-0.1,-0.051,0.015
15,-0.034,-0.076,-0.044000000000000004,0.037000000000000005
16,0.027000000000000003,-0.032,-0.032,0.012
17,0.051,0.006999999999999999,-0.022000000000000002,0.076
18,0.034,0.076,-0.054000000000000006,0.059000000000000004
19,0.059000000000000004,-0.042,-0.032,0.044000000000000004
20,0.044000000000000004,0.042,0.0,-0.028999999999999998
21,-0.017,0.078,-0.012,-0.059000000000000004
22,0.017,0.122,-0.107,-0.044000000000000004
23,0.063,0.039,-0.105,-0.015
24,-0.017,0.037000000000000005,-0.024,0.015
25,-0.051,0.078,-0.066,-0.054000000000000006
26,-0.042,-0.012,0.063,-0.039
27,-0.015,-0.054000000000000006,-0.037000000000000005,0.006999999999999999
28,-0.032,0.0,0.01,-0.059000000000000004
29,-0.028999999999999998,-0.017,-0.002,-0.002
30,-0.078,-0.107,-0.054000000000000006,0.046
31,-0.11,-0.083,-0.066,0.068
32,-0.039,-0.105,-0.028999999999999998,-0.015
33,-0.002,-0.085,-0.017,-0.01
34,-0.054000000000000006,0.0,0.042,0.0
35,-0.049,-0.083,0.051,0.051
36,-0.002,-0.059000000000000004,-0.027000000000000003,0.02
37,0.015,-0.068,-0.01,0.076
38,0.066,-0.006999999999999999,0.028999999999999998,0.022000000000000002
39,0.061,0.012,0.105,-0.015
40,0.024,0.028999999999999998,0.027000000000000003,-0.044000000000000004
41,0.055999999999999994,0.115,0.032,-0.017
42,0.11699999999999999,0.1,-0.015,-0.061
43,0.051,0.027000000000000003,-0.006999999999999999,0.037000000000000005
44,0.015,0.08800000000000001,-0.002,-0.028999999999999998
45,-0.028999999999999998,0.059000000000000004,0.02,-0.071
46,-0.076,0.002,-0.022000000000000002,-0.034
47,0.005,0.107,0.071,-0.054000000000000006
48,0.081,0.051,0.11699999999999999,-0.046
49,0.078,-0.08800000000000001,0.16399999999999998,0.049
50,-0.11699999999999999,0.028999999999999998,0.125,0.142
51,-0.159,0.034,0.012,0.054000000000000006
52,0.01,-0.024,-0.034,0.063
53,0.061,-0.059000000000000004,0.132,0.10300000000000001
54,0.078,0.02,0.134,0.11199999999999999
55,-0.015,-0.046,0.039,0.006999999999999999
56,-0.037000000000000005,0.055999999999999994,0.046,0.034
57,0.051,-0.028999999999999998,0.073,-0.005
58,0.042,0.02,0.132,0.09300000000000001
59,0.14400000000000002,0.015,0.061,0.059000000000000004
60,0.024,0.115,0.01,-0.002
61,-0.002,0.105,0.005,-0.095
62,0.066,0.01,-0.049,-0.042
63,0.017,0.054000000000000006,-0.076,0.017
64,0.09,0.11,0.032,0.015
65,0.051,0.127,0.022000000000000002,-0.028999999999999998
66,0.005,-0.032,-0.002,0.002
67,-0.11,0.012,0.054000000000000006,-0.012
68,-0.122,0.044000000000000004,0.005,-0.037000000000000005
69,-0.049,0.022000000000000002,0.006999999999999999,-0.044000000000000004
70,0.017,-0.076,0.19,0.02
71,0.085,-0.068,0.022000000000000002,0.071
72,-0.054000000000000006,0.01,0.095,0.039
73,-0.159,-0.054000000000000006,-0.015,0.034
74,-0.059000000000000004,-0.073,-0.134,-0.028999999999999998
75,0.046,-0.046,0.012,0.024
76,0.115,0.054000000000000006,-0.034,-0.005
77,-0.1,0.022000000000000002,0.059000000000000004,-0.006999999999999999
78,-0.071,-0.015,-0.017,-0.022000000000000002
79,0.034,-0.066,-0.055999999999999994,-0.015
80,0.098,-0.054000000000000006,0.11199999999999999,-0.149
81,0.11699999999999999,0.188,0.034,-0.024
82,0.055999999999999994,0.105,-0.02,-0.005
83,0.061,0.063,0.051,0.02
